incident_key,occur_date,occur_time,boro,precinct,jurisdiction_code,location_desc,statistical_murder_flag,perp_age_group,perp_sex,perp_race,vic_age_group,vic_sex,vic_race,latitude,longitude
140396316,2015-01-01,2023-04-30T01:30:00.000-04:00,STATEN ISLAND,123,0,GROCERY/BODEGA,false,25-44,M,WHITE,25-44,M,BLACK HISPANIC,40.565055364000045,-74.18438557799993
140396353,2015-01-01,2023-04-30T02:51:00.000-04:00,BRONX,40,2,MULTI DWELL - PUBLIC HOUS,true,18-24,M,BLACK,25-44,M,BLACK,40.81646587100005,-73.90780617899998
140397850,2015-01-02,2023-04-30T04:10:00.000-04:00,BROOKLYN,63,0,,false,18-24,M,BLACK,25-44,M,BLACK,40.627197212000056,-73.92776417899995
140398208,2015-01-02,2023-04-30T02:33:00.000-04:00,QUEENS,107,2,MULTI DWELL - PUBLIC HOUS,true,25-44,M,BLACK,25-44,M,BLACK,40.73025990900004,-73.81414744299997
140398530,2015-01-02,2023-04-30T11:15:00.000-04:00,QUEENS,101,0,MULTI DWELL - APT BUILD,false,25-44,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC,40.59825516800004,-73.75523010999996
140399734,2015-01-02,2023-04-30T14:49:00.000-04:00,BRONX,46,0,,false,,,,25-44,M,BLACK HISPANIC,40.850704128000075,-73.90595976999998
140407288,2015-01-02,2023-04-30T17:25:00.000-04:00,QUEENS,103,0,,false,,,,25-44,M,BLACK,40.70122239700004,-73.80157421599995
140407289,2015-01-02,2023-04-30T22:37:00.000-04:00,BROOKLYN,81,0,MULTI DWELL - APT BUILD,false,18-24,M,BLACK,18-24,M,BLACK,40.68034619500003,-73.93003636799995
140424108,2015-01-04,2023-04-30T15:00:00.000-04:00,MANHATTAN,17,0,MULTI DWELL - APT BUILD,true,25-44,M,WHITE,65+,M,WHITE,40.75363275900003,-73.96458102899999
140424110,2015-01-03,2023-04-30T23:41:00.000-04:00,BROOKLYN,60,0,LIQUOR STORE,false,18-24,M,BLACK HISPANIC,18-24,M,BLACK,40.57283863500004,-73.99543401199998
140424174,2015-01-03,2023-04-30T19:38:00.000-04:00,BROOKLYN,75,0,COMMERCIAL BLDG,true,,,,18-24,M,BLACK,40.67702302600003,-73.89857243799997
140435607,2015-01-05,2023-04-30T15:12:00.000-04:00,BROOKLYN,67,0,,false,,,,<18,M,BLACK,40.64927517900003,-73.93496278999999
140435608,2015-01-05,2023-04-30T16:58:00.000-04:00,BROOKLYN,83,0,,false,18-24,M,BLACK,25-44,M,WHITE,40.68782471800006,-73.91316917399996
140435609,2015-01-05,2023-04-30T17:08:00.000-04:00,BROOKLYN,77,0,,false,<18,M,BLACK,<18,M,BLACK,40.67198303200007,-73.95749922599998
140435766,2015-01-05,2023-04-30T22:32:00.000-04:00,BRONX,46,0,,false,18-24,M,BLACK HISPANIC,25-44,M,WHITE,40.85746736100003,-73.89675750499998
140452041,2015-01-06,2023-04-30T19:34:00.000-04:00,BROOKLYN,63,0,,true,,,,18-24,M,BLACK,40.627427140000066,-73.92099544699994
140452042,2015-01-06,2023-04-30T18:23:00.000-04:00,QUEENS,115,0,,false,,,,18-24,M,BLACK HISPANIC,40.75427186300004,-73.87376408199998
140452154,2015-01-06,2023-04-30T22:05:00.000-04:00,QUEENS,106,0,PVT HOUSE,false,25-44,M,ASIAN / PACIFIC ISLANDER,18-24,M,BLACK HISPANIC,40.66450565200006,-73.81112936599999
140466125,2015-01-07,2023-04-30T11:55:00.000-04:00,BRONX,43,0,MULTI DWELL - APT BUILD,false,18-24,M,BLACK,45-64,M,BLACK,40.82730054600006,-73.87210296099994
140470050,2015-01-08,2023-04-30T03:57:00.000-04:00,BRONX,49,0,,false,,,,18-24,M,BLACK,40.87151480800003,-73.84826283099994
140480086,2015-01-08,2023-04-30T17:30:00.000-04:00,BROOKLYN,77,0,,true,18-24,M,BLACK,18-24,M,BLACK,40.67498800000004,-73.94584720299997
140486218,2015-01-09,2023-04-30T14:26:00.000-04:00,STATEN ISLAND,121,0,,false,18-24,M,BLACK,18-24,F,BLACK,40.63680476600007,-74.13669555599995
140501472,2015-01-10,2023-04-30T01:15:00.000-04:00,BRONX,46,0,,false,,,,<18,M,BLACK HISPANIC,40.85893149100008,-73.89777151999994
140501473,2015-01-10,2023-04-30T05:45:00.000-04:00,BRONX,42,2,MULTI DWELL - PUBLIC HOUS,false,18-24,M,WHITE HISPANIC,18-24,M,BLACK,40.82779500200007,-73.89900251299997
140501474,2015-01-11,2023-04-30T02:56:00.000-04:00,MANHATTAN,32,0,,false,18-24,M,BLACK HISPANIC,25-44,M,BLACK,40.81600399600006,-73.94131882499994
140501475,2015-01-11,2023-04-30T01:43:00.000-04:00,QUEENS,102,0,,false,,,,18-24,M,BLACK,40.67949987600008,-73.86282435499999
140501476,2015-01-11,2023-04-30T04:03:00.000-04:00,BROOKLYN,81,0,,false,,,,18-24,M,BLACK,40.690938721000066,-73.92915666799996
140509774,2015-01-10,2023-04-30T02:25:00.000-04:00,QUEENS,101,0,,true,,,,25-44,M,BLACK,40.60977721300003,-73.75061519199994
140509775,2015-01-11,2023-04-30T13:05:00.000-04:00,BROOKLYN,63,0,,false,,,,18-24,M,BLACK,40.63321728600005,-73.92258712999995
140509776,2015-01-11,2023-04-30T14:20:00.000-04:00,BROOKLYN,73,0,,false,,,,18-24,M,BLACK,40.65921221700006,-73.90998894799998
140509861,2015-01-11,2023-04-30T22:07:00.000-04:00,BRONX,43,2,MULTI DWELL - PUBLIC HOUS,false,<18,M,BLACK,25-44,M,BLACK HISPANIC,40.83443366900008,-73.87925552699994
140514050,2015-01-12,2023-04-30T04:49:00.000-04:00,BROOKLYN,77,0,,false,,,,25-44,M,BLACK,40.68113428400005,-73.96445548499997
140515809,2015-01-12,2023-04-30T07:27:00.000-04:00,BROOKLYN,90,0,,false,,,,18-24,M,WHITE HISPANIC,40.70925601500005,-73.95357882499997
140522692,2015-01-12,2023-04-30T10:06:00.000-04:00,BROOKLYN,67,0,MULTI DWELL - APT BUILD,true,18-24,M,BLACK,25-44,M,BLACK,40.639483847000065,-73.94544858699999
140522694,2015-01-12,2023-04-30T17:00:00.000-04:00,BROOKLYN,71,0,,false,,,,25-44,M,BLACK,40.66302783300006,-73.94003053699998
140522803,2015-01-12,2023-04-30T22:07:00.000-04:00,BROOKLYN,60,0,,false,,,,25-44,M,BLACK,40.57708812900006,-73.99135085599994
140522804,2015-01-12,2023-04-30T22:20:00.000-04:00,BRONX,40,0,,true,25-44,M,BLACK,18-24,M,BLACK,40.81518222400007,-73.90394937199994
