incident_key,occur_date,occur_time,boro,precinct,jurisdiction_code,location_desc,statistical_murder_flag,perp_age_group,perp_sex,perp_race,vic_age_group,vic_sex,vic_race,latitude,longitude,geometry,ntacode,neighborhood,boro_name,boro_code,ntaname,income
140396316,2015-01-01,2023-04-30T01:30:00.000-04:00,STATEN ISLAND,123,0.0,GROCERY/BODEGA,False,25-44,M,WHITE,25-44,M,BLACK HISPANIC,40.565055364000045,-74.18438557799993,POINT (-74.18438557799993 40.565055364000045),SI48,Arden Heights,Staten Island,5,Arden Heights,100183
144425809,2015-07-11,2023-04-30T00:04:00.000-04:00,STATEN ISLAND,123,0.0,,False,25-44,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC,40.559035900000026,-74.17515365799994,POINT (-74.17515365799994 40.559035900000026),SI48,Arden Heights,Staten Island,5,Arden Heights,100183
189311506,2018-10-26,2023-04-30T19:37:00.000-04:00,STATEN ISLAND,123,0.0,,False,18-24,M,BLACK,18-24,M,BLACK,40.55700845600006,-74.18015194299994,POINT (-74.18015194299994 40.55700845600006),SI48,Arden Heights,Staten Island,5,Arden Heights,100183
237963149,2021-12-16,2023-04-30T01:34:00.000-04:00,STATEN ISLAND,123,0.0,PVT HOUSE,True,,,,25-44,M,WHITE,40.56410019500004,-74.18213843799998,POINT (-74.18213843799998 40.56410019500004),SI48,Arden Heights,Staten Island,5,Arden Heights,100183
140396353,2015-01-01,2023-04-30T02:51:00.000-04:00,BRONX,40,2.0,MULTI DWELL - PUBLIC HOUS,True,18-24,M,BLACK,25-44,M,BLACK,40.81646587100005,-73.90780617899998,POINT (-73.90780617899998 40.81646587100005),BX34,Melrose South-Mott Haven North,Bronx,2,Melrose South-Mott Haven North,22537
140522804,2015-01-12,2023-04-30T22:20:00.000-04:00,BRONX,40,0.0,,True,25-44,M,BLACK,18-24,M,BLACK,40.81518222400007,-73.90394937199994,POINT (-73.90394937199994 40.81518222400007),BX34,Melrose South-Mott Haven North,Bronx,2,Melrose South-Mott Haven North,22537
140892841,2015-02-08,2023-04-30T15:17:00.000-04:00,BRONX,40,0.0,,False,,,,18-24,M,BLACK,40.82020859600004,-73.92147720999998,POINT (-73.92147720999998 40.82020859600004),BX34,Melrose South-Mott Haven North,Bronx,2,Melrose South-Mott Haven North,22537
143582957,2015-06-09,2023-04-30T13:10:00.000-04:00,BRONX,40,0.0,,False,18-24,M,BLACK,18-24,M,WHITE HISPANIC,40.81930662900004,-73.90235373399997,POINT (-73.90235373399997 40.81930662900004),BX34,Melrose South-Mott Haven North,Bronx,2,Melrose South-Mott Haven North,22537
143682686,2015-06-14,2023-04-30T03:15:00.000-04:00,BRONX,40,2.0,MULTI DWELL - PUBLIC HOUS,False,,,,18-24,M,BLACK,40.82166410100007,-73.91885738899998,POINT (-73.91885738899998 40.82166410100007),BX34,Melrose South-Mott Haven North,Bronx,2,Melrose South-Mott Haven North,22537
144235828,2015-07-03,2023-04-30T21:00:00.000-04:00,BRONX,40,0.0,,False,,,,25-44,M,WHITE HISPANIC,40.81605443800004,-73.91194446899993,POINT (-73.91194446899993 40.81605443800004),BX34,Melrose South-Mott Haven North,Bronx,2,Melrose South-Mott Haven North,22537
144323115,2015-07-08,2023-04-30T00:09:00.000-04:00,BRONX,40,2.0,MULTI DWELL - PUBLIC HOUS,False,18-24,M,WHITE HISPANIC,18-24,M,BLACK HISPANIC,40.82081427100008,-73.90790109399995,POINT (-73.90790109399995 40.82081427100008),BX34,Melrose South-Mott Haven North,Bronx,2,Melrose South-Mott Haven North,22537
144425808,2015-07-11,2023-04-30T00:41:00.000-04:00,BRONX,40,0.0,,False,,,,18-24,M,BLACK,40.81393613600005,-73.90882821899999,POINT (-73.90882821899999 40.81393613600005),BX34,Melrose South-Mott Haven North,Bronx,2,Melrose South-Mott Haven North,22537
144748391,2015-07-23,2023-04-30T08:40:00.000-04:00,BRONX,40,0.0,,True,25-44,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC,40.81606719300004,-73.90855073099993,POINT (-73.90855073099993 40.81606719300004),BX34,Melrose South-Mott Haven North,Bronx,2,Melrose South-Mott Haven North,22537
144878523,2015-07-28,2023-04-30T19:29:00.000-04:00,BRONX,40,2.0,MULTI DWELL - PUBLIC HOUS,False,<18,M,BLACK HISPANIC,18-24,M,BLACK,40.81646587100005,-73.90780617899998,POINT (-73.90780617899998 40.81646587100005),BX34,Melrose South-Mott Haven North,Bronx,2,Melrose South-Mott Haven North,22537
145980539,2015-09-08,2023-04-30T20:35:00.000-04:00,BRONX,40,0.0,,False,,,,18-24,M,WHITE HISPANIC,40.81943572800003,-73.91117224799996,POINT (-73.91117224799996 40.81943572800003),BX34,Melrose South-Mott Haven North,Bronx,2,Melrose South-Mott Haven North,22537
